Value,LastModifiedDateUTC
"Berkeley County, West Virginia",2019-06-04 22:00:14.557
"Berks County, Pennsylvania",2019-06-04 22:00:14.557
"Berkshire County, Massachusetts",2019-06-04 22:00:14.557
"Bernalillo County, New Mexico",2019-06-04 22:00:14.557
"Berrien County, Georgia",2019-06-04 22:00:14.557
"Berrien County, Michigan",2019-06-04 22:00:14.557
"Bertie County, North Carolina",2019-06-04 22:00:14.557
"Bethel Census Area, Alaska",2019-06-04 22:00:14.557
"Bexar County, Texas",2019-06-04 22:00:14.557
"Bibb County, Alabama",2019-06-04 22:00:14.557
"Bibb County, Georgia",2019-06-04 22:00:14.557
"Bienville Parish, Louisiana",2019-06-04 22:00:14.557
"Big Horn County, Montana",2019-06-04 22:00:14.557
"Big Horn County, Wyoming",2019-06-04 22:00:14.557
"Big Stone County, Minnesota",2019-06-04 22:00:14.557
"Billings County, North Dakota",2019-06-04 22:00:14.557
"Bingham County, Idaho",2019-06-04 22:00:14.557
"Black Hawk County, Iowa",2019-06-04 22:00:14.557
"Blackford County, Indiana",2019-06-04 22:00:14.557
"Bladen County, North Carolina",2019-06-04 22:00:14.557
"Blaine County, Idaho",2019-06-04 22:00:14.557
"Blaine County, Montana",2019-06-04 22:00:14.557
"Blaine County, Nebraska",2019-06-04 22:00:14.557
"Blaine County, Oklahoma",2019-06-04 22:00:14.557
"Blair County, Pennsylvania",2019-06-04 22:00:14.557
"Blanco County, Texas",2019-06-04 22:00:14.557
"Bland County, Virginia",2019-06-04 22:00:14.557
"Bleckley County, Georgia",2019-06-04 22:00:14.557
"Bledsoe County, Tennessee",2019-06-04 22:00:14.557
"Blount County, Alabama",2019-06-04 22:00:14.557
"Blount County, Tennessee",2019-06-04 22:00:14.557
"Blue Earth County, Minnesota",2019-06-04 22:00:14.557
"Boise County, Idaho",2019-06-04 22:00:14.557
"Bolivar County, Mississippi",2019-06-04 22:00:14.557
"Bollinger County, Missouri",2019-06-04 22:00:14.557
